,state,district,pincode,has_enrolment_5_17,has_demographic_5_17,has_biometric_5_17,lifecycle_state
30,Andaman and Nicobar Islands,North And Middle Andaman,744211,False,False,False,No Activity
31,Andaman and Nicobar Islands,South Andaman,744101,True,True,True,Complete
32,Andaman and Nicobar Islands,South Andaman,744102,True,True,True,Complete
33,Andaman and Nicobar Islands,South Andaman,744103,True,True,True,Complete
34,Andaman and Nicobar Islands,South Andaman,744104,False,True,True,Unclear
35,Andaman and Nicobar Islands,South Andaman,744105,True,True,True,Complete
36,Andaman and Nicobar Islands,South Andaman,744106,True,True,True,Complete
37,Andaman and Nicobar Islands,South Andaman,744107,False,True,True,Unclear
38,Andaman and Nicobar Islands,South Andaman,744112,False,True,True,Unclear
39,Andaman and Nicobar Islands,South Andaman,744206,True,True,True,Complete
40,Andaman and Nicobar Islands,South Andaman,744207,True,True,True,Complete
41,Andaman and Nicobar Islands,South Andaman,744210,False,False,False,No Activity
42,Andaman and Nicobar Islands,South Andaman,744211,False,True,True,Unclear
43,Andhra Pradesh,Adilabad,504001,True,True,True,Complete
44,Andhra Pradesh,Adilabad,504101,False,True,True,Unclear
45,Andhra Pradesh,Adilabad,504102,True,True,True,Complete
46,Andhra Pradesh,Adilabad,504103,True,True,True,Complete
47,Andhra Pradesh,Adilabad,504104,True,True,True,Complete
48,Andhra Pradesh,Adilabad,504105,False,True,True,Unclear
49,Andhra Pradesh,Adilabad,504106,True,True,True,Complete
50,Andhra Pradesh,Adilabad,504109,True,True,True,Complete
51,Andhra Pradesh,Adilabad,504110,False,True,True,Unclear
52,Andhra Pradesh,Adilabad,504201,True,True,True,Complete
53,Andhra Pradesh,Adilabad,504202,False,False,True,Unclear
54,Andhra Pradesh,Adilabad,504203,True,True,True,Complete
55,Andhra Pradesh,Adilabad,504204,True,True,True,Complete
56,Andhra Pradesh,Adilabad,504205,True,True,True,Complete
57,Andhra Pradesh,Adilabad,504206,True,True,True,Complete
58,Andhra Pradesh,Adilabad,504207,True,True,True,Complete
59,Andhra Pradesh,Adilabad,504208,True,True,True,Complete
60,Andhra Pradesh,Adilabad,504209,True,True,True,Complete
61,Andhra Pradesh,Adilabad,504214,True,True,True,Complete
62,Andhra Pradesh,Adilabad,504215,True,True,True,Complete
63,Andhra Pradesh,Adilabad,504216,True,True,True,Complete
64,Andhra Pradesh,Adilabad,504218,False,True,True,Unclear
65,Andhra Pradesh,Adilabad,504219,True,True,True,Complete
66,Andhra Pradesh,Adilabad,504220,False,True,True,Unclear
67,Andhra Pradesh,Adilabad,504231,True,True,True,Complete
68,Andhra Pradesh,Adilabad,504251,True,True,True,Complete
69,Andhra Pradesh,Adilabad,504272,True,True,True,Complete
70,Andhra Pradesh,Adilabad,504273,True,True,True,Complete
71,Andhra Pradesh,Adilabad,504292,True,True,True,Complete
72,Andhra Pradesh,Adilabad,504293,True,True,True,Complete
73,Andhra Pradesh,Adilabad,504294,True,True,True,Complete
74,Andhra Pradesh,Adilabad,504295,True,True,True,Complete
75,Andhra Pradesh,Adilabad,504296,True,True,True,Complete
76,Andhra Pradesh,Adilabad,504299,True,True,True,Complete
77,Andhra Pradesh,Adilabad,504301,True,True,True,Complete
78,Andhra Pradesh,Adilabad,504302,True,True,True,Complete
79,Andhra Pradesh,Adilabad,504303,False,True,True,Unclear
80,Andhra Pradesh,Adilabad,504304,True,True,True,Complete
81,Andhra Pradesh,Adilabad,504306,False,True,True,Unclear
82,Andhra Pradesh,Adilabad,504307,True,True,True,Complete
83,Andhra Pradesh,Adilabad,504308,True,True,True,Complete
84,Andhra Pradesh,Adilabad,504309,True,True,True,Complete
85,Andhra Pradesh,Adilabad,504310,True,True,True,Complete
86,Andhra Pradesh,Adilabad,504311,True,True,True,Complete
87,Andhra Pradesh,Adilabad,504312,True,True,True,Complete
88,Andhra Pradesh,Adilabad,504313,True,True,True,Complete
89,Andhra Pradesh,Adilabad,504323,False,True,True,Unclear
90,Andhra Pradesh,Adilabad,504346,True,True,True,Complete
91,Andhra Pradesh,Alluri Sitharama Raju,507111,True,True,True,Complete
92,Andhra Pradesh,Alluri Sitharama Raju,507113,False,False,False,No Activity
93,Andhra Pradesh,Alluri Sitharama Raju,507121,True,True,True,Complete
94,Andhra Pradesh,Alluri Sitharama Raju,507126,False,True,True,Unclear
95,Andhra Pradesh,Alluri Sitharama Raju,507129,True,True,True,Complete
96,Andhra Pradesh,Alluri Sitharama Raju,507134,True,True,True,Complete
97,Andhra Pradesh,Alluri Sitharama Raju,507135,True,True,True,Complete
98,Andhra Pradesh,Alluri Sitharama Raju,531024,True,True,True,Complete
99,Andhra Pradesh,Alluri Sitharama Raju,531027,False,True,True,Unclear
100,Andhra Pradesh,Alluri Sitharama Raju,531029,True,True,True,Complete
101,Andhra Pradesh,Alluri Sitharama Raju,531030,False,True,True,Unclear
102,Andhra Pradesh,Alluri Sitharama Raju,531040,True,True,True,Complete
103,Andhra Pradesh,Alluri Sitharama Raju,531077,True,True,True,Complete
104,Andhra Pradesh,Alluri Sitharama Raju,531084,False,True,True,Unclear
105,Andhra Pradesh,Alluri Sitharama Raju,531087,True,True,True,Complete
106,Andhra Pradesh,Alluri Sitharama Raju,531105,True,True,True,Complete
107,Andhra Pradesh,Alluri Sitharama Raju,531110,False,False,True,Unclear
108,Andhra Pradesh,Alluri Sitharama Raju,531111,True,True,True,Complete
109,Andhra Pradesh,Alluri Sitharama Raju,531114,False,False,False,No Activity
110,Andhra Pradesh,Alluri Sitharama Raju,531115,False,False,True,Unclear
111,Andhra Pradesh,Alluri Sitharama Raju,531116,True,True,True,Complete
112,Andhra Pradesh,Alluri Sitharama Raju,531118,True,True,True,Complete
113,Andhra Pradesh,Alluri Sitharama Raju,531133,True,True,True,Complete
114,Andhra Pradesh,Alluri Sitharama Raju,531149,True,True,True,Complete
115,Andhra Pradesh,Alluri Sitharama Raju,531151,True,True,True,Complete
116,Andhra Pradesh,Alluri Sitharama Raju,533284,True,True,True,Complete
117,Andhra Pradesh,Alluri Sitharama Raju,533285,False,True,True,Unclear
118,Andhra Pradesh,Alluri Sitharama Raju,533286,False,True,True,Unclear
119,Andhra Pradesh,Alluri Sitharama Raju,533288,True,True,True,Complete
120,Andhra Pradesh,Alluri Sitharama Raju,533295,True,True,True,Complete
121,Andhra Pradesh,Alluri Sitharama Raju,533339,False,True,True,Unclear
122,Andhra Pradesh,Alluri Sitharama Raju,533347,True,True,True,Complete
123,Andhra Pradesh,Alluri Sitharama Raju,533348,True,True,True,Complete
124,Andhra Pradesh,Alluri Sitharama Raju,533349,False,False,False,No Activity
125,Andhra Pradesh,Alluri Sitharama Raju,533351,False,True,True,Unclear
126,Andhra Pradesh,Alluri Sitharama Raju,533352,False,False,False,No Activity
127,Andhra Pradesh,Alluri Sitharama Raju,533428,True,True,True,Complete
128,Andhra Pradesh,Alluri Sitharama Raju,533429,False,True,True,Unclear
129,Andhra Pradesh,Alluri Sitharama Raju,533436,True,True,True,Complete
130,Andhra Pradesh,Alluri Sitharama Raju,533483,True,True,True,Complete
131,Andhra Pradesh,Alluri Sitharama Raju,534315,False,False,True,Unclear
132,Andhra Pradesh,Alluri Sitharama Raju,535145,False,True,True,Unclear
133,Andhra Pradesh,Alluri Sitharama Raju,535273,False,True,True,Unclear
134,Andhra Pradesh,Anakapalli,517541,False,True,True,Unclear
135,Andhra Pradesh,Anakapalli,517640,False,False,True,Unclear
136,Andhra Pradesh,Anakapalli,530046,False,True,True,Unclear
137,Andhra Pradesh,Anakapalli,531001,True,True,True,Complete
138,Andhra Pradesh,Anakapalli,531002,False,True,True,Unclear
139,Andhra Pradesh,Anakapalli,531011,False,True,True,Unclear
140,Andhra Pradesh,Anakapalli,531019,True,True,True,Complete
141,Andhra Pradesh,Anakapalli,531020,False,True,True,Unclear
142,Andhra Pradesh,Anakapalli,531021,True,True,True,Complete
143,Andhra Pradesh,Anakapalli,531022,False,True,True,Unclear
144,Andhra Pradesh,Anakapalli,531023,False,True,True,Unclear
145,Andhra Pradesh,Anakapalli,531025,False,True,True,Unclear
146,Andhra Pradesh,Anakapalli,531026,False,True,True,Unclear
147,Andhra Pradesh,Anakapalli,531027,True,True,True,Complete
148,Andhra Pradesh,Anakapalli,531028,False,True,True,Unclear
149,Andhra Pradesh,Anakapalli,531030,True,True,True,Complete
150,Andhra Pradesh,Anakapalli,531031,False,True,True,Unclear
151,Andhra Pradesh,Anakapalli,531032,False,True,True,Unclear
152,Andhra Pradesh,Anakapalli,531033,False,True,True,Unclear
153,Andhra Pradesh,Anakapalli,531034,False,True,True,Unclear
154,Andhra Pradesh,Anakapalli,531035,False,True,True,Unclear
155,Andhra Pradesh,Anakapalli,531036,False,True,True,Unclear
156,Andhra Pradesh,Anakapalli,531055,False,True,True,Unclear
157,Andhra Pradesh,Anakapalli,531060,False,True,True,Unclear
158,Andhra Pradesh,Anakapalli,531061,True,True,True,Complete
159,Andhra Pradesh,Anakapalli,531075,False,True,True,Unclear
160,Andhra Pradesh,Anakapalli,531081,False,True,True,Unclear
161,Andhra Pradesh,Anakapalli,531082,False,True,True,Unclear
162,Andhra Pradesh,Anakapalli,531083,True,True,True,Complete
163,Andhra Pradesh,Anakapalli,531084,False,True,True,Unclear
164,Andhra Pradesh,Anakapalli,531085,False,True,True,Unclear
165,Andhra Pradesh,Anakapalli,531113,False,True,True,Unclear
166,Andhra Pradesh,Anakapalli,531114,False,True,True,Unclear
167,Andhra Pradesh,Anakapalli,531115,False,True,True,Unclear
168,Andhra Pradesh,Anakapalli,531116,True,True,True,Complete
169,Andhra Pradesh,Anakapalli,531117,False,True,True,Unclear
170,Andhra Pradesh,Anakapalli,531118,False,True,True,Unclear
171,Andhra Pradesh,Anakapalli,531126,False,True,True,Unclear
172,Andhra Pradesh,Anakapalli,531127,True,True,True,Complete
173,Andhra Pradesh,Anakapalli,535183,False,True,True,Unclear
174,Andhra Pradesh,Anantapur,515001,True,True,True,Complete
175,Andhra Pradesh,Anantapur,515002,True,True,True,Complete
176,Andhra Pradesh,Anantapur,515003,True,True,True,Complete
177,Andhra Pradesh,Anantapur,515004,True,True,True,Complete
178,Andhra Pradesh,Anantapur,515005,False,False,True,Unclear
179,Andhra Pradesh,Anantapur,515101,True,True,True,Complete
180,Andhra Pradesh,Anantapur,515110,True,True,True,Complete
181,Andhra Pradesh,Anantapur,515122,True,True,True,Complete
182,Andhra Pradesh,Anantapur,515123,False,True,True,Unclear
183,Andhra Pradesh,Anantapur,515124,True,True,True,Complete
184,Andhra Pradesh,Anantapur,515133,True,True,True,Complete
185,Andhra Pradesh,Anantapur,515134,False,True,True,Unclear
186,Andhra Pradesh,Anantapur,515144,False,True,True,Unclear
187,Andhra Pradesh,Anantapur,515154,True,True,True,Complete
188,Andhra Pradesh,Anantapur,515159,False,True,True,Unclear
189,Andhra Pradesh,Anantapur,515164,True,True,True,Complete
190,Andhra Pradesh,Anantapur,515201,True,True,True,Complete
191,Andhra Pradesh,Anantapur,515211,False,True,True,Unclear
192,Andhra Pradesh,Anantapur,515212,True,True,True,Complete
193,Andhra Pradesh,Anantapur,515231,True,True,True,Complete
194,Andhra Pradesh,Anantapur,515241,True,True,True,Complete
195,Andhra Pradesh,Anantapur,515261,True,True,True,Complete
196,Andhra Pradesh,Anantapur,515271,True,True,True,Complete
197,Andhra Pradesh,Anantapur,515281,True,True,True,Complete
198,Andhra Pradesh,Anantapur,515286,True,True,True,Complete
199,Andhra Pradesh,Anantapur,515291,True,True,True,Complete
200,Andhra Pradesh,Anantapur,515301,True,True,True,Complete
201,Andhra Pradesh,Anantapur,515303,True,True,True,Complete
202,Andhra Pradesh,Anantapur,515305,True,True,True,Complete
203,Andhra Pradesh,Anantapur,515311,True,True,True,Complete
204,Andhra Pradesh,Anantapur,515321,True,True,True,Complete
205,Andhra Pradesh,Anantapur,515331,True,True,True,Complete
206,Andhra Pradesh,Anantapur,515341,True,True,True,Complete
207,Andhra Pradesh,Anantapur,515401,True,True,True,Complete
208,Andhra Pradesh,Anantapur,515402,True,True,True,Complete
209,Andhra Pradesh,Anantapur,515405,True,True,True,Complete
210,Andhra Pradesh,Anantapur,515408,True,True,True,Complete
211,Andhra Pradesh,Anantapur,515411,True,True,True,Complete
212,Andhra Pradesh,Anantapur,515414,False,True,True,Unclear
213,Andhra Pradesh,Anantapur,515415,True,True,True,Complete
214,Andhra Pradesh,Anantapur,515425,True,True,True,Complete
215,Andhra Pradesh,Anantapur,515435,True,True,True,Complete
216,Andhra Pradesh,Anantapur,515445,True,True,True,Complete
217,Andhra Pradesh,Anantapur,515455,True,True,True,Complete
218,Andhra Pradesh,Anantapur,515465,True,True,True,Complete
219,Andhra Pradesh,Anantapur,515501,True,True,True,Complete
220,Andhra Pradesh,Anantapur,515511,True,True,True,Complete
221,Andhra Pradesh,Anantapur,515521,True,True,True,Complete
222,Andhra Pradesh,Anantapur,515531,False,True,True,Unclear
223,Andhra Pradesh,Anantapur,515541,True,True,True,Complete
224,Andhra Pradesh,Anantapur,515551,False,True,True,Unclear
225,Andhra Pradesh,Anantapur,515556,False,True,True,Unclear
226,Andhra Pradesh,Anantapur,515561,True,True,True,Complete
227,Andhra Pradesh,Anantapur,515571,True,True,True,Complete
228,Andhra Pradesh,Anantapur,515581,True,True,True,Complete
229,Andhra Pradesh,Anantapur,515591,True,True,True,Complete
230,Andhra Pradesh,Anantapur,515601,False,True,True,Unclear
231,Andhra Pradesh,Anantapur,515611,True,True,True,Complete
232,Andhra Pradesh,Anantapur,515621,True,True,True,Complete
233,Andhra Pradesh,Anantapur,515631,False,True,True,Unclear
234,Andhra Pradesh,Anantapur,515641,False,True,True,Unclear
235,Andhra Pradesh,Anantapur,515651,False,True,True,Unclear
236,Andhra Pradesh,Anantapur,515661,True,True,True,Complete
237,Andhra Pradesh,Anantapur,515671,True,True,True,Complete
238,Andhra Pradesh,Anantapur,515672,True,True,True,Complete
239,Andhra Pradesh,Anantapur,515701,True,True,True,Complete
240,Andhra Pradesh,Anantapur,515711,True,True,True,Complete
241,Andhra Pradesh,Anantapur,515721,True,True,True,Complete
242,Andhra Pradesh,Anantapur,515722,True,True,True,Complete
243,Andhra Pradesh,Anantapur,515731,True,True,True,Complete
244,Andhra Pradesh,Anantapur,515741,True,True,True,Complete
245,Andhra Pradesh,Anantapur,515751,True,True,True,Complete
246,Andhra Pradesh,Anantapur,515761,True,True,True,Complete
247,Andhra Pradesh,Anantapur,515763,True,True,True,Complete
248,Andhra Pradesh,Anantapur,515765,True,True,True,Complete
249,Andhra Pradesh,Anantapur,515766,True,True,True,Complete
250,Andhra Pradesh,Anantapur,515767,True,True,True,Complete
251,Andhra Pradesh,Anantapur,515774,False,True,True,Unclear
252,Andhra Pradesh,Anantapur,515775,True,True,True,Complete
253,Andhra Pradesh,Anantapur,515787,True,True,True,Complete
254,Andhra Pradesh,Anantapur,515801,True,True,True,Complete
255,Andhra Pradesh,Anantapur,515803,False,True,True,Unclear
256,Andhra Pradesh,Anantapur,515812,True,True,True,Complete
257,Andhra Pradesh,Anantapur,515822,True,True,True,Complete
258,Andhra Pradesh,Anantapur,515832,True,True,True,Complete
259,Andhra Pradesh,Anantapur,515842,True,True,True,Complete
260,Andhra Pradesh,Anantapur,515863,True,True,True,Complete
261,Andhra Pradesh,Anantapur,515865,True,True,True,Complete
262,Andhra Pradesh,Anantapur,515867,True,True,True,Complete
263,Andhra Pradesh,Anantapur,515870,True,True,True,Complete
264,Andhra Pradesh,Anantapur,515871,True,True,True,Complete
265,Andhra Pradesh,Anantapur,515872,True,True,True,Complete
266,Andhra Pradesh,Ananthapur,515001,True,True,True,Complete
267,Andhra Pradesh,Ananthapur,515002,False,True,True,Unclear
268,Andhra Pradesh,Ananthapur,515003,False,True,True,Unclear
269,Andhra Pradesh,Ananthapur,515004,True,True,True,Complete
270,Andhra Pradesh,Ananthapur,515005,False,True,True,Unclear
271,Andhra Pradesh,Ananthapur,515101,True,True,True,Complete
272,Andhra Pradesh,Ananthapur,515110,True,True,True,Complete
273,Andhra Pradesh,Ananthapur,515122,False,True,True,Unclear
274,Andhra Pradesh,Ananthapur,515123,False,True,True,Unclear
275,Andhra Pradesh,Ananthapur,515124,False,True,True,Unclear
276,Andhra Pradesh,Ananthapur,515133,False,True,True,Unclear
277,Andhra Pradesh,Ananthapur,515134,False,True,True,Unclear
278,Andhra Pradesh,Ananthapur,515144,False,True,True,Unclear
279,Andhra Pradesh,Ananthapur,515154,False,True,True,Unclear
280,Andhra Pradesh,Ananthapur,515159,False,True,True,Unclear
281,Andhra Pradesh,Ananthapur,515164,True,True,True,Complete
282,Andhra Pradesh,Ananthapur,515201,True,True,True,Complete
283,Andhra Pradesh,Ananthapur,515211,True,True,True,Complete
284,Andhra Pradesh,Ananthapur,515212,False,True,True,Unclear
285,Andhra Pradesh,Ananthapur,515231,True,True,True,Complete
286,Andhra Pradesh,Ananthapur,515241,False,True,True,Unclear
287,Andhra Pradesh,Ananthapur,515261,False,True,True,Unclear
288,Andhra Pradesh,Ananthapur,515271,True,True,True,Complete
289,Andhra Pradesh,Ananthapur,515281,True,True,True,Complete
290,Andhra Pradesh,Ananthapur,515286,True,True,True,Complete
291,Andhra Pradesh,Ananthapur,515291,True,True,True,Complete
292,Andhra Pradesh,Ananthapur,515301,True,True,True,Complete
293,Andhra Pradesh,Ananthapur,515303,True,True,True,Complete
294,Andhra Pradesh,Ananthapur,515305,True,True,True,Complete
295,Andhra Pradesh,Ananthapur,515311,False,True,True,Unclear
296,Andhra Pradesh,Ananthapur,515321,False,True,True,Unclear
297,Andhra Pradesh,Ananthapur,515331,False,True,True,Unclear
298,Andhra Pradesh,Ananthapur,515341,False,True,True,Unclear
299,Andhra Pradesh,Ananthapur,515401,True,True,True,Complete
300,Andhra Pradesh,Ananthapur,515402,True,True,True,Complete
301,Andhra Pradesh,Ananthapur,515405,False,True,True,Unclear
302,Andhra Pradesh,Ananthapur,515408,False,True,True,Unclear
303,Andhra Pradesh,Ananthapur,515411,True,True,True,Complete
304,Andhra Pradesh,Ananthapur,515413,False,False,False,No Activity
305,Andhra Pradesh,Ananthapur,515414,False,True,True,Unclear
306,Andhra Pradesh,Ananthapur,515415,True,True,True,Complete
307,Andhra Pradesh,Ananthapur,515425,True,True,True,Complete
308,Andhra Pradesh,Ananthapur,515435,True,True,True,Complete
309,Andhra Pradesh,Ananthapur,515445,False,True,True,Unclear
310,Andhra Pradesh,Ananthapur,515455,True,True,True,Complete
311,Andhra Pradesh,Ananthapur,515465,False,True,True,Unclear
312,Andhra Pradesh,Ananthapur,515501,True,True,True,Complete
313,Andhra Pradesh,Ananthapur,515511,False,True,True,Unclear
314,Andhra Pradesh,Ananthapur,515521,True,True,True,Complete
315,Andhra Pradesh,Ananthapur,515531,True,True,True,Complete
316,Andhra Pradesh,Ananthapur,515541,True,True,True,Complete
317,Andhra Pradesh,Ananthapur,515551,True,True,True,Complete
318,Andhra Pradesh,Ananthapur,515556,False,True,True,Unclear
319,Andhra Pradesh,Ananthapur,515561,False,True,True,Unclear
320,Andhra Pradesh,Ananthapur,515571,True,True,True,Complete
321,Andhra Pradesh,Ananthapur,515581,True,True,True,Complete
322,Andhra Pradesh,Ananthapur,515591,True,True,True,Complete
323,Andhra Pradesh,Ananthapur,515601,False,True,True,Unclear
324,Andhra Pradesh,Ananthapur,515611,False,True,True,Unclear
325,Andhra Pradesh,Ananthapur,515621,True,True,True,Complete
326,Andhra Pradesh,Ananthapur,515631,True,True,True,Complete
327,Andhra Pradesh,Ananthapur,515641,True,True,True,Complete
328,Andhra Pradesh,Ananthapur,515651,False,True,True,Unclear
329,Andhra Pradesh,Ananthapur,515661,False,True,True,Unclear
330,Andhra Pradesh,Ananthapur,515671,True,True,True,Complete
331,Andhra Pradesh,Ananthapur,515672,True,True,True,Complete
332,Andhra Pradesh,Ananthapur,515701,False,True,True,Unclear
333,Andhra Pradesh,Ananthapur,515711,True,True,True,Complete
334,Andhra Pradesh,Ananthapur,515721,False,True,True,Unclear
335,Andhra Pradesh,Ananthapur,515722,False,True,True,Unclear
336,Andhra Pradesh,Ananthapur,515731,True,True,True,Complete
337,Andhra Pradesh,Ananthapur,515741,True,True,True,Complete
338,Andhra Pradesh,Ananthapur,515751,True,True,True,Complete
339,Andhra Pradesh,Ananthapur,515761,True,True,True,Complete
340,Andhra Pradesh,Ananthapur,515763,True,True,True,Complete
341,Andhra Pradesh,Ananthapur,515765,True,True,True,Complete
342,Andhra Pradesh,Ananthapur,515766,True,True,True,Complete
343,Andhra Pradesh,Ananthapur,515767,True,True,True,Complete
344,Andhra Pradesh,Ananthapur,515774,False,True,True,Unclear
345,Andhra Pradesh,Ananthapur,515775,True,True,True,Complete
346,Andhra Pradesh,Ananthapur,515787,True,True,True,Complete
347,Andhra Pradesh,Ananthapur,515801,True,True,True,Complete
348,Andhra Pradesh,Ananthapur,515803,True,True,True,Complete
349,Andhra Pradesh,Ananthapur,515812,True,True,True,Complete
350,Andhra Pradesh,Ananthapur,515822,False,True,True,Unclear
351,Andhra Pradesh,Ananthapur,515832,False,True,True,Unclear
352,Andhra Pradesh,Ananthapur,515842,True,True,True,Complete
353,Andhra Pradesh,Ananthapur,515863,True,True,True,Complete
354,Andhra Pradesh,Ananthapur,515865,True,True,True,Complete
355,Andhra Pradesh,Ananthapur,515867,True,True,True,Complete
356,Andhra Pradesh,Ananthapur,515870,True,True,True,Complete
357,Andhra Pradesh,Ananthapur,515871,True,True,True,Complete
358,Andhra Pradesh,Ananthapur,515872,True,True,True,Complete
359,Andhra Pradesh,Ananthapur,516464,False,True,False,Only Demographic
360,Andhra Pradesh,Ananthapuramu,515001,True,True,True,Complete
361,Andhra Pradesh,Ananthapuramu,515002,True,True,True,Complete
362,Andhra Pradesh,Ananthapuramu,515003,False,True,True,Unclear
363,Andhra Pradesh,Ananthapuramu,515004,True,True,True,Complete
364,Andhra Pradesh,Ananthapuramu,515005,False,True,True,Unclear
365,Andhra Pradesh,Ananthapuramu,515101,False,True,True,Unclear
366,Andhra Pradesh,Ananthapuramu,515110,True,True,True,Complete
367,Andhra Pradesh,Ananthapuramu,515122,True,True,True,Complete
368,Andhra Pradesh,Ananthapuramu,515123,True,True,True,Complete
369,Andhra Pradesh,Ananthapuramu,515124,False,True,True,Unclear
370,Andhra Pradesh,Ananthapuramu,515133,True,True,True,Complete
371,Andhra Pradesh,Ananthapuramu,515134,False,True,True,Unclear
372,Andhra Pradesh,Ananthapuramu,515144,True,True,True,Complete
373,Andhra Pradesh,Ananthapuramu,515154,False,True,True,Unclear
374,Andhra Pradesh,Ananthapuramu,515159,False,True,True,Unclear
375,Andhra Pradesh,Ananthapuramu,515164,False,True,True,Unclear
376,Andhra Pradesh,Ananthapuramu,515201,True,True,True,Complete
377,Andhra Pradesh,Ananthapuramu,515202,False,False,True,Unclear
378,Andhra Pradesh,Ananthapuramu,515211,True,True,True,Complete
379,Andhra Pradesh,Ananthapuramu,515212,True,True,True,Complete
380,Andhra Pradesh,Ananthapuramu,515231,True,True,True,Complete
381,Andhra Pradesh,Ananthapuramu,515241,True,True,True,Complete
382,Andhra Pradesh,Ananthapuramu,515261,False,True,True,Unclear
383,Andhra Pradesh,Ananthapuramu,515271,False,True,True,Unclear
384,Andhra Pradesh,Ananthapuramu,515281,True,True,True,Complete
385,Andhra Pradesh,Ananthapuramu,515286,False,True,True,Unclear
386,Andhra Pradesh,Ananthapuramu,515291,True,True,True,Complete
387,Andhra Pradesh,Ananthapuramu,515301,False,True,True,Unclear
388,Andhra Pradesh,Ananthapuramu,515303,False,True,True,Unclear
389,Andhra Pradesh,Ananthapuramu,515305,True,True,True,Complete
390,Andhra Pradesh,Ananthapuramu,515311,False,True,True,Unclear
391,Andhra Pradesh,Ananthapuramu,515321,False,True,True,Unclear
392,Andhra Pradesh,Ananthapuramu,515331,False,True,True,Unclear
393,Andhra Pradesh,Ananthapuramu,515341,False,True,True,Unclear
394,Andhra Pradesh,Ananthapuramu,515401,True,True,True,Complete
395,Andhra Pradesh,Ananthapuramu,515402,False,True,True,Unclear
396,Andhra Pradesh,Ananthapuramu,515405,False,True,True,Unclear
397,Andhra Pradesh,Ananthapuramu,515408,False,True,True,Unclear
398,Andhra Pradesh,Ananthapuramu,515411,True,True,True,Complete
399,Andhra Pradesh,Ananthapuramu,515413,False,False,True,Unclear
400,Andhra Pradesh,Ananthapuramu,515414,False,True,True,Unclear
401,Andhra Pradesh,Ananthapuramu,515415,False,True,True,Unclear
402,Andhra Pradesh,Ananthapuramu,515425,True,True,True,Complete
403,Andhra Pradesh,Ananthapuramu,515435,True,True,True,Complete
404,Andhra Pradesh,Ananthapuramu,515445,False,True,True,Unclear
405,Andhra Pradesh,Ananthapuramu,515455,False,True,True,Unclear
406,Andhra Pradesh,Ananthapuramu,515465,False,True,True,Unclear
407,Andhra Pradesh,Ananthapuramu,515501,True,True,True,Complete
408,Andhra Pradesh,Ananthapuramu,515511,False,True,True,Unclear
409,Andhra Pradesh,Ananthapuramu,515521,False,True,True,Unclear
410,Andhra Pradesh,Ananthapuramu,515531,True,True,True,Complete
411,Andhra Pradesh,Ananthapuramu,515541,True,True,True,Complete
412,Andhra Pradesh,Ananthapuramu,515551,False,True,True,Unclear
413,Andhra Pradesh,Ananthapuramu,515556,True,True,True,Complete
414,Andhra Pradesh,Ananthapuramu,515561,True,True,True,Complete
415,Andhra Pradesh,Ananthapuramu,515571,True,True,True,Complete
416,Andhra Pradesh,Ananthapuramu,515581,True,True,True,Complete
